,timestamp,highest_layer,length,dest_ip,dest_port
376,1521394942.140893,TCP,54,172.17.0.2,8080
377,1521394942.140896,TCP,54,172.17.0.2,8080
378,1521394942.140898,TCP,54,172.17.0.2,8080
379,1521394942.140925,TCP,54,172.17.0.2,8080
380,1521394942.140931,TCP,54,172.17.0.2,8080
381,1521394942.140933,TCP,54,172.17.0.2,8080
382,1521394942.141012,TCP,3564,10.0.2.2,55966
383,1521394942.14112,TCP,54,172.17.0.2,8080
384,1521394942.141124,TCP,54,172.17.0.2,8080
385,1521394942.141127,TCP,54,172.17.0.2,8080
386,1521394942.143351,DATA-TEXT-LINES,459,10.0.2.2,55966
387,1521394942.143507,TCP,54,172.17.0.2,8080
388,1521394946.069212,TCP,54,10.0.2.2,55972
389,1521394946.069412,TCP,54,172.17.0.2,8080
390,1521394946.069471,TCP,54,10.0.2.2,55952
391,1521394946.069622,TCP,54,172.17.0.2,8080
392,1521394946.069673,TCP,54,10.0.2.2,55968
393,1521394946.069825,TCP,54,172.17.0.2,8080
394,1521394946.069869,TCP,54,10.0.2.2,55970
395,1521394946.070018,TCP,54,172.17.0.2,8080
396,1521394956.074746,TCP,54,10.0.2.2,55959
397,1521394956.074935,TCP,54,172.17.0.2,8080
398,1521394966.075233,TCP,54,10.0.2.2,55966
399,1521394966.075465,TCP,54,172.17.0.2,8080
400,1521394990.853667,TCP,74,172.17.0.2,8080
401,1521394990.853686,TCP,74,172.17.0.1,44126
402,1521394990.853692,TCP,66,172.17.0.2,8080
403,1521394990.853758,HTTP,358,172.17.0.2,8080
404,1521394990.85377,TCP,66,172.17.0.1,44126
405,1521394990.940312,TCP,7306,172.17.0.1,44126
406,1521394990.940323,TCP,66,172.17.0.2,8080
407,1521394990.94033,TCP,1826,172.17.0.1,44126
408,1521394990.940332,TCP,66,172.17.0.2,8080
409,1521394990.943891,TCP,66,172.17.0.2,8080
410,1521394990.949407,TCP,2785,172.17.0.1,44126
411,1521394990.949417,TCP,66,172.17.0.2,8080
412,1521394990.951015,DATA-TEXT-LINES,471,172.17.0.1,44126
413,1521394990.951023,TCP,66,172.17.0.2,8080
414,1521394990.951236,TCP,66,172.17.0.1,44126
415,1521394990.951239,TCP,66,172.17.0.2,8080
416,1521394995.819081,TCP,74,172.17.0.2,8080
417,1521394995.819099,TCP,74,172.17.0.1,39926
418,1521394995.819105,TCP,66,172.17.0.2,8080
419,1521394995.81916,HTTP,358,172.17.0.2,8080
420,1521394995.819172,TCP,66,172.17.0.1,39926
421,1521394995.905602,TCP,7306,172.17.0.1,39926
422,1521394995.905613,TCP,66,172.17.0.2,8080
423,1521394995.905621,TCP,1826,172.17.0.1,39926
424,1521394995.905623,TCP,66,172.17.0.2,8080
425,1521394995.905643,TCP,2785,172.17.0.1,39926
